razao_social;UF;valor_total_despesas;media_despesas_trimestre;desvio_padrao_despesas;qtd_lancamentos
419125 (Nome não consta no CSV);Indefinido;17048665.05;115193.68;203040.24;148
423157 (Nome não consta no CSV);Indefinido;15845265.66;95453.41;211626.82;166
422851 (Nome não consta no CSV);Indefinido;14063256.51;136536.47;270843.04;103
420808 (Nome não consta no CSV);Indefinido;11254101.74;194036.24;308489.24;58
417343 (Nome não consta no CSV);Indefinido;7820751.11;186208.36;324614.13;42
400882 (Nome não consta no CSV);Indefinido;4895959.12;52084.67;116724.46;94
424633 (Nome não consta no CSV);Indefinido;2600247.71;520049.54;711994.84;5
423742 (Nome não consta no CSV);Indefinido;1752404.89;23365.4;57300.09;75
422185 (Nome não consta no CSV);Indefinido;1147309.68;26681.62;54507.68;43
415057 (Nome não consta no CSV);Indefinido;1106957.47;18761.99;29401.92;59
422347 (Nome não consta no CSV);Indefinido;400001.0;200000.5;282842.01;2
424200 (Nome não consta no CSV);Indefinido;195001.0;97500.5;137885.12;2
419982 (Nome não consta no CSV);Indefinido;51514.0;25757.0;34284.78;2
